study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6455	SAMEA3724861	ERS1032010	ERX1283437	ERR1211186	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211186/ERR1211186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211186/ERR1211186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211186/ERR1211186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211186/ERR1211186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/006/ERR1211186	ftp.sra.ebi.ac.uk/vol1/err/ERR121/006/ERR1211186		
PRJEB6455	SAMEA3724862	ERS1032011	ERX1283438	ERR1211187	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211187/ERR1211187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211187/ERR1211187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211187/ERR1211187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211187/ERR1211187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_12_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_12_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/007/ERR1211187	ftp.sra.ebi.ac.uk/vol1/err/ERR121/007/ERR1211187		
PRJEB6455	SAMEA3724863	ERS1032012	ERX1283439	ERR1211188	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211188/ERR1211188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211188/ERR1211188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211188/ERR1211188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211188/ERR1211188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_13_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_13_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_13_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_13_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/008/ERR1211188	ftp.sra.ebi.ac.uk/vol1/err/ERR121/008/ERR1211188		
PRJEB6455	SAMEA3724864	ERS1032013	ERX1283440	ERR1211189	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211189/ERR1211189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211189/ERR1211189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211189/ERR1211189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211189/ERR1211189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_14_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_14_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_14_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_14_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/009/ERR1211189	ftp.sra.ebi.ac.uk/vol1/err/ERR121/009/ERR1211189		
PRJEB6455	SAMEA3724865	ERS1032014	ERX1283441	ERR1211190	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211190/ERR1211190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211190/ERR1211190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211190/ERR1211190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211190/ERR1211190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_15_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_15_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/000/ERR1211190	ftp.sra.ebi.ac.uk/vol1/err/ERR121/000/ERR1211190		
PRJEB6455	SAMEA3724866	ERS1032015	ERX1283442	ERR1211191	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211191/ERR1211191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211191/ERR1211191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211191/ERR1211191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211191/ERR1211191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_16_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_16_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_16_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_16_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/001/ERR1211191	ftp.sra.ebi.ac.uk/vol1/err/ERR121/001/ERR1211191		
PRJEB6455	SAMEA3724867	ERS1032016	ERX1283443	ERR1211192	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211192/ERR1211192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211192/ERR1211192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211192/ERR1211192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211192/ERR1211192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_17_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_17_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_17_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_17_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/002/ERR1211192	ftp.sra.ebi.ac.uk/vol1/err/ERR121/002/ERR1211192		
PRJEB6455	SAMEA3724868	ERS1032017	ERX1283444	ERR1211193	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211193/ERR1211193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211193/ERR1211193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211193/ERR1211193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211193/ERR1211193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_18_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_18_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/003/ERR1211193	ftp.sra.ebi.ac.uk/vol1/err/ERR121/003/ERR1211193		
PRJEB6455	SAMEA3724869	ERS1032018	ERX1283445	ERR1211194	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211194/ERR1211194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211194/ERR1211194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211194/ERR1211194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211194/ERR1211194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_19_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_19_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_19_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_19_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/004/ERR1211194	ftp.sra.ebi.ac.uk/vol1/err/ERR121/004/ERR1211194		
PRJEB6455	SAMEA3724870	ERS1032019	ERX1283446	ERR1211195	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211195/ERR1211195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211195/ERR1211195_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211195/ERR1211195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211195/ERR1211195_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_20_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_20_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_20_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_20_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/005/ERR1211195	ftp.sra.ebi.ac.uk/vol1/err/ERR121/005/ERR1211195		
PRJEB6455	SAMEA3724871	ERS1032020	ERX1283447	ERR1211196	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211196/ERR1211196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211196/ERR1211196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211196/ERR1211196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211196/ERR1211196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_21_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_21_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_21_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_21_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/006/ERR1211196	ftp.sra.ebi.ac.uk/vol1/err/ERR121/006/ERR1211196		
PRJEB6455	SAMEA3724872	ERS1032021	ERX1283448	ERR1211197	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211197/ERR1211197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211197/ERR1211197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211197/ERR1211197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211197/ERR1211197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_22_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_22_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_22_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_22_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/007/ERR1211197	ftp.sra.ebi.ac.uk/vol1/err/ERR121/007/ERR1211197		
PRJEB6455	SAMEA3724873	ERS1032022	ERX1283449	ERR1211198	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211198/ERR1211198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211198/ERR1211198_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211198/ERR1211198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211198/ERR1211198_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_23_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_23_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_23_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_23_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/008/ERR1211198	ftp.sra.ebi.ac.uk/vol1/err/ERR121/008/ERR1211198		
